 Jurisdiction , Date Range , Control , Specific Excise Tax Per Gallon for 5% Alcohol ,Ad Valorem Excise Tax On-Premises for 5% Alcohol:  Wholesale Tax Rate ,Ad Valorem Excise Tax On-Premises for 5% Alcohol:  Retail Tax Rate ,Ad Valorem Excise Tax On-Premises for 5% Alcohol:  Sales Tax DOES NOT Apply ,Ad Valorem Excise Tax On-Premises for 5% Alcohol:  Sales Tax Rate ,Ad Valorem Excise Tax On-Premises for 5% Alcohol:  Sales Tax Adjusted Retail Ad  Valorem   Rate ,Ad Valorem Excise Tax Off-Premises for 5% Alcohol:  Wholesale Tax Rate ,Ad Valorem Excise Tax Off-Premises for 5% Alcohol:  Retail Tax Rate ,Ad Valorem Excise Tax Off-Premises for 5% Alcohol:  Sales Tax DOES NOT Apply ,Ad Valorem Excise Tax Off-Premises for 5% Alcohol:  Sales Tax Rate ,Ad Valorem Excise Tax Off-Premises for 5% Alcohol:  Sales Tax Adjusted Retail Ad  Valorem  Rate , Additional Taxes for 3.2-6% Alcohol , Citations 
AL,1/1/2010 - 1/1/2016,Unchecked,$1.05,,,Unchecked,,,,,Unchecked,,,,[Ala. Code s. 28-3-1];[Ala. Code s. 28-3-184];[Ala. Code s. 28-3-190]
AK,1/1/2010 - 1/1/2016,Unchecked,$1.07,,,Unchecked,,,,,Unchecked,,,,[Alaska Stat. s. 04.21.080];[Alaska Stat. s. 43.60.010]
AZ,1/1/2010 - 1/1/2016,Unchecked,$0.16,,,Unchecked,,,,,Unchecked,,,,[Ariz. Rev. Stat. s. 42-3001];[Ariz. Rev. Stat. s. 42-3052]
AR,1/1/2010 - 1/1/2016,Unchecked,$0.24,,,Unchecked,,,,1.00%,Unchecked,,1.00%,,"[Ark. Admin. Code s. 006.05.212-GR-26];[Ark. Code Ann. s. 26-52-306];[Ark. Code Ann. s. 3-1-102];[Ark. Code Ann. s. 3-7-104];[Ark. Code Ann. s. 3-7-111];[Ark. Code Ann. s. 3-7-201];[Ark. Code Ann. s. 3-9-202];[Ark. Code Ann. s. 3-9-223];[2005 Ark. Acts 2188];[2007 Ark. Acts 869];[2011 Ark. Acts 982, § 2]"
CA,1/1/2010 - 1/1/2016,Unchecked,$0.20,,,Unchecked,,,,,Unchecked,,,,[Cal. Bus. & Prof. Code s. 23004];[Cal. Bus. & Prof. Code s. 23006];[Cal. Rev. & Tax. Code s. 32151];[Cal. Rev. & Tax. Code s. 32220]
CO,1/1/2010 - 1/1/2016,Unchecked,$0.08,,,Unchecked,,,,,Unchecked,,,,[Colo. Rev. Stat. s. 12-46-103];[Colo. Rev. Stat. s. 12-47-103];[Colo. Rev. Stat. s. 12-47-503]
CT,1/1/2010 - 5/3/2011,Unchecked,$0.20,,,Unchecked,,,,,Unchecked,,,,[Conn. Gen. Stat. s. 12-433];[Conn. Gen. Stat. s. 12-435]
CT,5/4/2011 - 1/1/2016,Unchecked,$0.24,,,Unchecked,,,,,Unchecked,,,,"[Conn. Gen. Stat. s. 12-433];[Conn. Gen. Stat. s. 12-435];[2011 Conn. Pub. Acts 11-6, § 98]"
DE,1/1/2010 - 1/1/2016,Unchecked,$0.16,,,Unchecked,,,,,Unchecked,,,,"[Del. Code Ann. tit. 4, s. 101];[Del. Code Ann. tit. 4, s. 581]"
DC,1/1/2010 - 6/30/2011,Unchecked,$0.09,,10.00%,Checked,6.00%,4.00%,,9.00%,Checked,6.00%,3.00%,,"[D.C. Code Ann. s. 25-101];[D.C. Code Ann. s. 25-902];[D.C. Code Ann. s. 47-2002];[D.C. Code Ann. s. 47-2002.02];[2009 D.C. Stat 18-111, §7241(f)]"
