"ACC_MIL","ACH_MIL","YEAR","STATE_SHORT","POP_MIL","SUSPEND","INTERLOCK_1ST","INTERLOCK_REPEAT","GALLONS_ALCOHOL_PER_CAP_21","BEER_TAX","PERCENT_POVERTY","MEDIAN_INCOME","PERCENT_UNINSURE","LESS_HS_P","HS_P","SOME_C_P","BACHELORS_P","GRAD_PROF_P"
806.1364331889,48.569874453,2011,"AL",4.858979,"yes","no","yes",22331,1.05,19.1,41427,16.6,0.1808973518,0.3143338056,0.2850678026,0.1396431191,0.0800579208
806.1364331889,46.1002198198,2012,"AL",4.858979,"yes","no","yes",22656,1.05,19,41610,15.8,0.1740228093,0.3130995723,0.2902286617,0.1415214766,0.0811274801
806.1364331889,44.0421742922,2013,"AL",4.858979,"yes","no","yes",22491,1.05,18.9,42882,15.9,0.1688515278,0.3105621766,0.2942738915,0.1435466587,0.0827657454
806.1364331889,47.9524607947,2014,"AL",4.858979,"yes","no","yes",22481,1.05,19.2,42917,14.2,0.1629533777,0.3106872117,0.295832502,0.144587374,0.0859395345
398.140925637,24.375975039,2011,"AK",0.738432,"yes","no","yes",32713,1.07,10.8,65699,21.7,0.0863754971,0.272442201,0.3690751017,0.1766616151,0.0954455852
398.140925637,20.3133125325,2012,"AK",0.738432,"yes","no","yes",32236,1.07,10.8,66503,22.3,0.0841304634,0.2709728451,0.3701342664,0.1775047314,0.0972576937
398.140925637,20.3133125325,2013,"AK",0.738432,"yes","no","yes",31277,1.07,10.1,70058,20.8,0.0836339784,0.2730766606,0.3682866646,0.1770786329,0.0979240636
398.140925637,35.209741723,2014,"AK",0.738432,"yes","no","yes",31696,1.07,11.4,70898,19,0.0818997261,0.2750505628,0.3662025682,0.1787043333,0.0981428097
555.5014487999,28.2656946002,2011,"AZ",6.828065,"yes","no","yes",27228,0.16,19,46710,19.6,0.1481759947,0.2472909419,0.3405640126,0.1683599146,0.0956091362
555.5014487999,28.7050577287,2012,"AZ",6.828065,"yes","no","yes",27627,0.16,18.7,47796,20.4,0.1455765183,0.2439792721,0.3441514426,0.1691601475,0.0971326195
555.5014487999,29.5837839857,2013,"AZ",6.828065,"yes","no","yes",26677,0.16,18.6,48504,20,0.1430561024,0.2450644639,0.3431349874,0.170197336,0.0985471104
555.5014487999,25.1901527007,2014,"AZ",6.828065,"yes","no","yes",26819,0.16,18.2,50036,16.1,0.1410556818,0.2450720878,0.3428951712,0.1712679963,0.099709063
799.4751199045,54.0594264194,2011,"AR",2.978204,"yes","no","yes",19519,0.24,19.3,38889,20.1,0.1734647912,0.3520028435,0.2786975532,0.130271456,0.0655633562
799.4751199045,51.3732437402,2012,"AR",2.978204,"yes","no","yes",20435,0.24,19.6,40151,19.4,0.1669372668,0.351238054,0.2838411922,0.1314804124,0.0665030746
799.4751199045,40.2927401884,2013,"AR",2.978204,"yes","no","yes",20398,0.24,19.4,40605,18.8,0.1626915645,0.3507978605,0.2854746111,0.1327910298,0.068244934
799.4751199045,38.6138760139,2014,"AR",2.978204,"yes","no","yes",20203,0.24,18.7,41335,13.8,0.1570281077,0.3499815125,0.2865295393,0.1350276903,0.0714331503
357.4930403304,19.0574394802,2011,"CA",39.144818,"yes","no","yes",25718,0.2,16.6,57275,20.2,0.1918179647,0.2111692135,0.2946716938,0.1925818154,0.1097593127
357.4930403304,20.2836554253,2012,"CA",39.144818,"yes","no","yes",26742,0.2,17,58322,20,0.1898010877,0.206845521,0.2988188943,0.1935360389,0.1109984581
357.4930403304,20.462478584,2013,"CA",39.144818,"yes","no","yes",26373,0.2,16.8,60185,19.4,0.1875804181,0.2071573064,0.298534329,0.1943751403,0.1123528062
357.4930403304,20.7434864048,2014,"CA",39.144818,"yes","no","yes",26200,0.2,16.4,61927,14.1,0.1851126359,0.2072422091,0.2976254276,0.1958718832,0.1141478443
408.6813447412,26.023655136,2011,"CO",5.456574,"yes","no","yes",30797,0.08,13.4,55530,17,0.1031715627,0.2293398256,0.3045569872,0.2327467328,0.1301848917
408.6813447412,25.2905944279,2012,"CO",5.456574,"yes","no","yes",31076,0.08,13.6,56880,16.7,0.1007726648,0.2235954614,0.3088688681,0.2344685237,0.132294482
408.6813447412,26.756715844,2013,"CO",5.456574,"yes","no","yes",31606,0.08,12.9,58942,16,0.0982762838,0.2213883273,0.3100478844,0.2359050432,0.1343824612
408.6813447412,28.0395720831,2014,"CO",5.456574,"yes","no","yes",31067,0.08,12.1,61324,11.7,0.0962082908,0.2198802167,0.3093001309,0.2373528372,0.1372585244
336.4072265174,20.3292446488,2011,"CT",3.590886,"yes","no","yes",26710,0.24,10.8,65822,10.1,0.1143089959,0.2812837366,0.2473029369,0.2013772607,0.1557270699
336.4072265174,22.5571070761,2012,"CT",3.590886,"yes","no","yes",27104,0.24,10.6,67275,10.5,0.1104140104,0.2785513338,0.2494690171,0.2032611646,0.1583044741
336.4072265174,25.6204179136,2013,"CT",3.590886,"yes","no","yes",26925,0.24,10.7,67262,10.9,0.1081959324,0.2775926124,0.2496422522,0.2038349904,0.1607342126
336.4072265174,20.6077274522,2014,"CT",3.590886,"yes","no","yes",26800,0.24,10.8,70007,8,0.1046641991,0.2760601683,0.249280719,0.2063311393,0.1636637743
557.1213213607,37.000467263,2011,"DE",0.945934,"yes","no","yes",40172,0.16,12.6,58159,11.2,0.1264561079,0.3170279459,0.2767972507,0.1668546057,0.1128640899
557.1213213607,40.1719358856,2012,"DE",0.945934,"yes","no","yes",40456,0.16,12.7,58326,10.3,0.1232308633,0.3163537097,0.2751922245,0.1709177881,0.1143054144
557.1213213607,45.4577169232,2013,"DE",0.945934,"yes","no","yes",40369,0.16,12.9,58244,10.9,0.1225430257,0.3169333429,0.27193622,0.1718214631,0.1167659483
557.1213213607,44.4005607157,2014,"DE",0.945934,"yes","no","yes",40215,0.16,13,59853,9.3,0.1196145508,0.3153654616,0.2706599923,0.1749870347,0.1193729606
578.3060875509,32.1144129485,2011,"FL",20.271272,"yes","no","yes",28397,0.48,17,44250,24.8,0.144536704,0.3009891101,0.2945072505,0.1676411143,0.0923258211
578.3060875509,30.5851551891,2012,"FL",20.271272,"yes","no","yes",30264,0.48,17.2,45006,24.1,0.1417595446,0.2982929737,0.2982724825,0.1681401753,0.093534824
578.3060875509,31.1771259347,2013,"FL",20.271272,"yes","no","yes",30177,0.48,17.1,46021,24.3,0.1388749828,0.2976704417,0.2994477268,0.1692462168,0.0947606319
578.3060875509,28.9079047432,2014,"FL",20.271272,"yes","no","yes",28671,0.48,16.6,47439,20.2,0.1354601627,0.2967240729,0.3001904053,0.1714246612,0.0962006979
561.6327585498,24.4741484465,2011,"GA",10.21486,"yes","no","yes4",22434,1.01,19.2,45886,21.7,0.1600557564,0.2939280918,0.2709921412,0.176606803,0.0984172076
561.6327585498,26.4320803222,2012,"GA",10.21486,"yes","no","yes4",22622,1.01,19.2,47125,20.7,0.1557532646,0.2892640266,0.277342536,0.1771308903,0.1005092825
561.6327585498,24.5720450403,2013,"GA",10.21486,"yes","no","yes4",22459,1.01,19,47765,21.2,0.1526078898,0.2874138084,0.280395754,0.1774250686,0.1021574792
561.6327585498,23.2014927273,2014,"GA",10.21486,"yes","no","yes4",22306,1.01,18.4,49240,18,0.1496564342,0.2857983008,0.2814290055,0.1791942988,0.1039219608
338.08255501,30.0362600525,2011,"HI",1.431603,"yes","no","yes",27832,0.93,12.1,62071,8.1,0.0986958027,0.2865716511,0.3196687018,0.195814203,0.0992496414
338.08255501,28.6392247013,2012,"HI",1.431603,"yes","no","yes",28239,0.93,11.8,66086,7.8,0.0974171777,0.2839779256,0.3225360186,0.1957329345,0.1003359436
338.08255501,24.4481186474,2013,"HI",1.431603,"yes","no","yes",28358,0.93,11.2,67798,7.6,0.0959213061,0.2810266708,0.3219575002,0.1986523374,0.1024421855
338.08255501,19.5584949179,2014,"HI",1.431603,"yes","no","yes",28578,0.93,11.5,69549,6,0.0927799273,0.2812318915,0.321275515,0.2016189504,0.1030937159
540.2041173947,29.0042479138,2011,"ID",1.65493,"yes","no","yes",30331,0.15,16.5,43345,18.9,0.1154547056,0.284006729,0.3549669475,0.1692731324,0.0762984856
540.2041173947,29.6085030787,2012,"ID",1.65493,"yes","no","yes",31610,0.15,16,45296,18.5,0.1139253599,0.2795435279,0.3594028222,0.1696134143,0.0775148757
540.2041173947,38.0680753869,2013,"ID",1.65493,"yes","no","yes",32090,0.15,15.6,46621,18.8,0.111965081,0.27838265,0.3589963894,0.1722140855,0.0784417941
540.2041173947,33.2340340679,2014,"ID",1.65493,"yes","no","yes",32158,0.15,14.8,47572,15.7,0.1085725371,0.2773053717,0.3599445389,0.173956929,0.0802206232
340.2023095654,20.5287793658,2011,"IL",12.859995,"yes","no","yes",26529,0.23,14.9,53271,14.8,0.1336222496,0.2761788473,0.2836439862,0.1909098675,0.1156450493
340.2023095654,25.4276926235,2012,"IL",12.859995,"yes","no","yes",26733,0.23,14.7,55126,14.6,0.130313937,0.2720164795,0.2868704733,0.1930136205,0.1177854897
340.2023095654,23.9502425934,2013,"IL",12.859995,"yes","no","yes",26382,0.23,14.6,56212,14.6,0.1271932077,0.2713345262,0.2870330101,0.1948293596,0.1196098964
340.2023095654,21.3063846448,2014,"IL",12.859995,"yes","no","yes",26212,0.23,14.3,57458,11.2,0.1240741985,0.2700780498,0.2869509045,0.1972325392,0.121664308
538.6967345854,25.9831290939,2011,"IN",6.61968,"yes","no","no",23113,0.12,15.8,46410,16.6,0.1336384187,0.35821998,0.2812714238,0.1455968011,0.0812733764
538.6967345854,30.5150702149,2012,"IN",6.61968,"yes","no","no",23766,0.12,15.5,46954,16.6,0.1300335908,0.3542317607,0.2858989231,0.1473586343,0.0824770911
538.6967345854,25.5299349818,2013,"IN",6.61968,"yes","no","no",23731,0.12,15.8,47508,16.1,0.1278148846,0.3523702722,0.2878946051,0.1484179636,0.0835022745
538.6967345854,22.055446789,2014,"IN",6.61968,"yes","no","no",23258,0.12,15.2,49384,14,0.1238743986,0.3495898498,0.2903326843,0.1510539507,0.0851491166
486.2513160637,19.2067669281,2011,"IA",3.123899,"yes","no","yes",26760,0.19,12.7,49545,10.4,0.0969022212,0.3379629167,0.3163514716,0.1721724955,0.076610895
486.2513160637,23.0481203137,2012,"IA",3.123899,"yes","no","yes",27320,0.19,12.7,50997,9.9,0.0931815146,0.3311131296,0.3224591024,0.1753505735,0.0778956799
486.2513160637,26.8894736994,2013,"IA",3.123899,"yes","no","yes",26534,0.19,12.6,52286,9.6,0.0903238189,0.32879299,0.3234627001,0.1773901562,0.0800303347
486.2513160637,23.688345878,2014,"IA",3.123899,"yes","no","yes",26592,0.19,12.3,53816,7.3,0.0873354907,0.3250936025,0.3240494335,0.1799031066,0.0836183668
586.610780656,35.3752402855,2011,"KS",2.911641,"yes","no","yes",21699,0.18,13.8,48844,14.4,0.1049429324,0.283999122,0.3138591967,0.1949034241,0.1022953248
586.610780656,33.3145466766,2012,"KS",2.911641,"yes","no","yes",22262,0.18,14,50140,14.4,0.102748032,0.2781229751,0.3191560319,0.1956221686,0.1043507923
586.610780656,31.5973020025,2013,"KS",2.911641,"yes","no","yes",21470,0.18,13.9,50892,14.1,0.1017680986,0.2749455408,0.3206852936,0.1964238031,0.1061772639
586.610780656,32.2841998722,2014,"KS",2.911641,"yes","no","yes",21915,0.18,13.5,52392,11.7,0.1004933686,0.2717447932,0.3206095513,0.198739026,0.1084132609
736.481862976,41.5810563939,2011,"KY",4.425092,"no","no","yes",20253,0.08,19.1,41141,16.9,0.1834431591,0.3427156334,0.2674365053,0.1228253932,0.083579309
736.481862976,40.6771203853,2012,"KY",4.425092,"no","no","yes",21073,0.08,19.3,41717,16.2,0.1757904776,0.3404228928,0.2739779127,0.1246902452,0.0851184717
736.481862976,39.5472003746,2013,"KY",4.425092,"no","no","yes",20835,0.08,18.8,43307,16.8,0.1700720987,0.3386544243,0.276017187,0.1276246936,0.0876315963
736.481862976,39.5472003746,2014,"KY",4.425092,"no","no","yes",21101,0.08,19,42914,9.9,0.1653871182,0.337285085,0.2796082878,0.1285668071,0.0891527018
701.6042908979,44.1045114205,2011,"LA",4.670724,"yes","no","yes",29036,0.32,20.5,41804,20.1,0.1839648103,0.3460968157,0.2587462805,0.1415881495,0.0696039439
701.6042908979,41.9635157205,2012,"LA",4.670724,"yes","no","yes",29348,0.32,20.1,42998,19.4,0.1781989445,0.3429570744,0.2646088934,0.1429770044,0.0712580834
701.6042908979,45.8173079805,2013,"LA",4.670724,"yes","no","yes",29169,0.32,20,44234,19.1,0.1744753616,0.3407094401,0.2664754301,0.1455853675,0.0727544006
701.6042908979,48.6006023906,2014,"LA",4.670724,"yes","no","yes",29115,0.32,19.9,44680,16.9,0.171541184,0.3394966434,0.2677452847,0.1467254191,0.0744914688
505.5185778077,30.0903915362,2011,"ME",1.329328,"yes","no","yes",28270,0.35,14.2,46160,12.9,0.0975459886,0.3445582266,0.2868487086,0.1743606981,0.0966863781
505.5185778077,42.878807939,2012,"ME",1.329328,"yes","no","yes",29560,0.35,14.4,46856,12.4,0.094048309,0.3420965158,0.2906200992,0.1756986823,0.0975363937
